ID,Módulo,Nombre Caso de prueba,Objetivo,Precondiciones,Tipo de prueba,Prioridad,#Paso,Descripción del paso,Resultado esperado,Resultado actual,Estatus,Severidad,Comentarios,,,,,,
TC-001,Usuarios,GET listar usuarios página 1,Validar que la API retorne la lista de usuarios página 1,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos",Positivo,Alta,1,Seleccionar el request GET - Listar usuarios página 1,El request se abre en el panel principal,200 OK,Passed,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,2,Verificar que el método HTTP sea GET,El sistema muestra el método GET seleccionado correctamente,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users y page=1,URL y parámetro correctamente configurados,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,4,Click en el botón Send,La petición se envía al servidor,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,5,Verificar el Status Code,200 OK,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,6,Verificar campo page en el Body,El valor es 1,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,7,Verificar campo per_page en el Body,El valor es 6,200 OK,Pass,-,-,,,,,,Positivo
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,8,Verificar campo total en el Body,El valor es 12,200 OK,Pass,-,-,,,,,,Negativo
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,9,Verificar campo total_pages en el Body,El valor es 2,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,10,Verificar array data en el Body,Contiene 6 usuarios con id email first_name last_name avatar,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 1,Validar que la API retorne la lista de usuarios pÃ¡gina 1,,Positivo,Alta,11,Verificar pestaÃ±a Test Results,Los 4 tests aparecen en verde con estatus Pass,200 OK,Pass,-,-,,,,,,
TC-002,Usuarios,GET listar usuarios página 2,Validar que la API retorne la lista de usuarios página 2,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos",Positivo,Alta,1,Seleccionar el request GET - Listar usuarios página 2,El request se abre en el panel principal,200 OK,Passed,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,2,Verificar que el método HTTP sea GET,método GET seleccionado correctamente,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users y page=2,URL y parámetro correctamente configurados,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,4,Click en el botón Send,La petición se envía al servidor,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,5,Verificar el Status Code,200 OK,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,6,Verificar campo page en el Body,El valor es 2,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,7,Verificar campo per_page en el Body,El valor es 6,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,8,Verificar campo total en el Body,El valor es 12,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,9,Verificar campo total_pages en el Body,El valor es 2,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,10,Verificar array data en el Body,Contiene 6 usuarios con IDs del 7 al 12 con campos id email first_name last_name avatar,200 OK,Pass,-,-,,,,,,
,Usuarios,GET listar usuarios pÃ¡gina 2,Validar que la API retorne la lista de usuarios pÃ¡gina 2,,Positivo,Alta,11,Verificar pestaÃ±a Test Results,Los tests automÃ¡ticos aparecen en verde con estatus Pass,200 OK,Pass,-,-,,,,,,
TC-003,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos",Positivo,Alta,1,Seleccionar el request POST - Crear usuario,El request se abre en el panel principal,201 Created,Passed,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,2,Verificar que el método HTTP sea POST,método POST seleccionado correctamente,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users,URL correctamente configurada,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,4,Verificar que el Body contenga name y job correctamente,Body con campos name y job correctamente configurados,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,5,Click en el botón Send,La petición se envía al servidor,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,6,Verificar el Status Code,201 Created,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,7,Verificar que el Body de respuesta contenga el campo id,El campo id existe y tiene un valor asignado,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,8,Verificar que el Body de respuesta contenga el campo createdAt,El campo createdAt existe con la fecha de creación,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,9,Verificar que el campo name coincida con el enviado,El valor de name es Pedrito Clavo un Clavito,201 Created,Pass,-,-,,,,,,
,Usuarios,POST crear usuario completo,Validar que la API cree correctamente un usuario con todos los campos,,Positivo,Alta,10,Verificar pestaÃ±a Test Results,Los 4 tests aparecen en verde con estatus Pass,201 Created,Pass,-,-,,,,,,
TC-004,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos 9.Contar con un usuario existente con ID 2",Positivo,Alta,1,Seleccionar el request PUT - Actualizar usuario,El request se abre en el panel principal,200 OK,Passed,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,2,Verificar que el método HTTP sea PUT,método PUT seleccionado correctamente,200 OK,Pass,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users/2,URL correctamente configurada con ID de usuario,200 OK,Pass,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,4,Verificar que el Body contenga name y job,Body con campos name y job correctamente configurados,200 OK,Pass,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,5,Click en el botón Send,La petición se envía al servidor,200 OK,Pass,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,6,Verificar el Status Code,200 OK,200 OK,Pass,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,7,Verificar que el Body de respuesta contenga los campos actualizados,Los campos name y job reflejan los valores enviados,200 OK,Pass,-,-,,,,,,
,Usuarios,PUT actualizar usuario completo,Validar que la API actualice correctamente todos los campos de un usuario,,Positivo,Alta,8,Verificar que el Body de respuesta contenga el campo updatedAt,El campo updatedAt existe con la fecha de modificaciÃ³n,200 OK,Pass,-,-,,,,,,
TC-005,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado
 8.Ubicarse en Escenarios Positivos 
9.Contar con un usuario existente con ID 2",Positivo,Alta,1,Seleccionar el request PATCH - Actualizar job usuario,El request se abre en el panel principal,200 OK,Passed,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,2,Verificar que el método HTTP sea PATCH,método PATCH seleccionado correctamente,200 OK,Pass,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users/2,URL correctamente configurada con ID de usuario,200 OK,Pass,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,4,Verificar que el Body contenga solo el campo job,Body con Ãºnicamente el campo job configurado,200 OK,Pass,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,5,Click en el botón Send,La petición se envía al servidor,200 OK,Pass,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,6,Verificar el Status Code,200 OK,200 OK,Pass,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,7,Verificar que el Body de respuesta contenga solo el campo job actualizado,El campo job refleja el valor enviado sin incluir name,200 OK,Pass,-,-,,,,,,
,Usuarios,PATCH actualizar solo job,Validar que la API actualice correctamente solo el campo job de un usuario,,Positivo,Alta,8,Verificar que el Body de respuesta contenga el campo updatedAt,El campo updatedAt existe con la fecha de modificaciÃ³n,200 OK,Pass,-,-,,,,,,
TC-006,Usuarios,DELETE eliminar usuario,Validar que la API elimine correctamente un usuario existente,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Positivos 
9.Contar con un usuario existente con ID 2",Positivo,Alta,1,Seleccionar el request DELETE - Eliminar usuario,El request se abre en el panel principal,204 No Content,Passed,-,-,,,,,,
,Usuarios,DELETE eliminar usuario,Validar que la API elimine correctamente un usuario existente,,Positivo,Alta,2,Verificar que el método HTTP sea DELETE,método DELETE seleccionado correctamente,204 No Content,Pass,-,-,,,,,,
,Usuarios,DELETE eliminar usuario,Validar que la API elimine correctamente un usuario existente,,Positivo,Alta,3,Verificar que la URL sea base_url/api/users/2,URL correctamente configurada con ID de usuario,204 No Content,Pass,-,-,,,,,,
,Usuarios,DELETE eliminar usuario,Validar que la API elimine correctamente un usuario existente,,Positivo,Alta,4,Click en el botón Send,La petición se envía al servidor,204 No Content,Pass,-,-,,,,,,
,Usuarios,DELETE eliminar usuario,Validar que la API elimine correctamente un usuario existente,,Positivo,Alta,5,Verificar el Status Code,204 No Content,204 No Content,Pass,-,-,,,,,,
,Usuarios,DELETE eliminar usuario,Validar que la API elimine correctamente un usuario existente,,Positivo,Alta,6,Verificar que el Body de respuesta está vacío,El Body no contiene ningÃºn contenido,204 No Content,Pass,-,-,,,,,,
TC-007,Usuarios,POST crear usuario sin campos,Validar que la API rechace la creación de usuario sin campos obligatorios,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Negativos",Negativo,Alta,1,Seleccionar el request POST - Crear usuario sin campos,El request se abre en el panel principal,201 Created,Failed,Alta,DEFECTO: La API permite crear usuario sin campos obligatorios,,,,,,
,Usuarios,POST crear usuario sin campos,Validar que la API rechace la creaciÃ³n de usuario sin campos obligatorios,,Negativo,Alta,2,Verificar que el Body está vacío {},Body con Ãºnicamente llaves vacÃ­as,400 Bad Request,201 Created,Alta,-,,,,,,
,Usuarios,POST crear usuario sin campos,Validar que la API rechace la creaciÃ³n de usuario sin campos obligatorios,,Negativo,Alta,3,Click en el botón Send,La petición se envía al servidor,400 Bad Request,201 Created,Alta,-,,,,,,
,Usuarios,POST crear usuario sin campos,Validar que la API rechace la creaciÃ³n de usuario sin campos obligatorios,,Negativo,Alta,4,Verificar el Status Code,400 Bad Request,201 Created,Alta,-,,,,,,,
TC-008,Usuarios,POST crear usuario nombre vacío,Validar que la API rechace la creación de usuario con nombre vacío,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Negativos",Negativo,Alta,1,Seleccionar el request POST - Crear usuario nombre vacío,El request se abre en el panel principal,201 Created,Failed,Alta,DEFECTO: La API permite crear usuario con nombre vacío,,,,,,
,Usuarios,POST crear usuario nombre vacÃ­o,Validar que la API rechace la creaciÃ³n de usuario con nombre vacÃ­o,,Negativo,Alta,2,"Verificar que el Body contenga name con valor vacío:

{""name"": """",
""job"": ""QA Tester""
}
",Body con name vacío y job con valor,400 Bad Request,201 Created,Alta,-,,,,,,
,Usuarios,POST crear usuario nombre vacÃ­o,Validar que la API rechace la creaciÃ³n de usuario con nombre vacÃ­o,,Negativo,Alta,3,Click en el botón Send,La petición se envía al servidor,400 Bad Request,201 Created,Alta,-,,,,,,
,Usuarios,POST crear usuario nombre vacÃ­o,Validar que la API rechace la creaciÃ³n de usuario con nombre vacÃ­o,,Negativo,Alta,4,Verificar el Status Code,400 Bad Request,201 Created,Alta,-,,,,,,,
TC-009,Usuarios,POST crear usuario name sin valor,Validar que la API rechace un JSON mal formado,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con API Key válida 
4.Contar con variables de entorno configuradas 
5.Contar con colección creada 
6.Contar con sesión iniciada 
7.Contar con entorno reqres.in-QA seleccionado 
8.Ubicarse en Escenarios Negativos",Negativo,Alta,1,Seleccionar el request POST - Crear usuario name sin valor,El sistema muestra el request se abre en el panel principal,400 Bad Request,Passed,-,-,,,,,,
,Usuarios,POST crear usuario name sin valor,Validar que la API rechace un JSON mal formado,,Negativo,Alta,2,"Verificar que el Body contenga name sin valor asignado

{""name"": ,
""job"": ""QA Tester""
}
",El sistema muestra el Body con name sin valor,400 Bad Request,400 Bad Request,,-,,,,,,
,Usuarios,POST crear usuario name sin valor,Validar que la API rechace un JSON mal formado,,Negativo,Alta,3,Click en el botón Send,La petición se envía al servidor,400 Bad Request,400 Bad Request,,-,,,,,,
,Usuarios,POST crear usuario name sin valor,Validar que la API rechace un JSON mal formado,,Negativo,Alta,4,Verificar el Status Code,400 Bad Request,400 Bad Request,Pass,,,,,,,,
TC-010,Seguridad,GET listar usuarios sin autenticación,Validar que la API rechace peticiones sin API Key,"1.Contar con Postman v10.18.12 
2.Contar con internet estable 
3.Contar con colección creada 
4.Contar con sesión iniciada 
5.Ubicarse en Escenarios Negativos 
6.Contar con la API Key deshabilitada en el request",Seguridad,Alta,1,Seleccionar el request GET - Listar usuarios página 1,El request se abre en el panel principal,401 Unauthorized,Passed,-,-,,,,,,
,Seguridad,GET listar usuarios sin autenticaciÃ³n,Validar que la API rechace peticiones sin API Key,,Seguridad,Alta,2,Verificar que la API Key está deshabilitada en el request,Authorization configurada como No Auth,401 Unauthorized,401 Unauthorized,,-,,,,,,
,Seguridad,GET listar usuarios sin autenticaciÃ³n,Validar que la API rechace peticiones sin API Key,,Seguridad,Alta,3,Click en el botón Send,La petición se envía al servidor sin autenticación,401 Unauthorized,401 Unauthorized,,-,,,,,,
,Seguridad,GET listar usuarios sin autenticaciÃ³n,Validar que la API rechace peticiones sin API Key,,Seguridad,Alta,4,Verificar el Status Code,401 Unauthorized,401 Unauthorized,Pass,,,,,,,,
